"Kind","Name","PercentLackOfCohesion","CountClassCoupled","SumCyclomatic","MaxNesting","CountClassDerived","CountClassBase","MaxInheritanceTree"
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithFileTypes.accept",,,1,0,,,
"Public Class","org.repodriller.filter.diff.OnlyDiffsWithFileTypesTest",0,4,3,0,0,1,1
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithFileTypesTest.shouldAcceptIfFileHasExtensionWithDot",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithFileTypesTest.shouldAcceptIfFileHasExtensionWithoutDot",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithFileTypesTest.shouldRejectIfFileDoesNotMatchExtensions",,,1,0,,,
"Public Class","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypes",0,4,2,0,0,2,1
"Public Constructor","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypes.OnlyDiffsWithoutFileTypes",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypes.accept",,,1,0,,,
"Public Class","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypesTest",0,4,3,0,0,1,1
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypesTest.shouldAcceptIfFileDoesNotMatchExtensions",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypesTest.shouldRejectIfFileHasExtensionWithDot",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypesTest.shouldRejectIfFileHasExtensionWithoutDot",,,1,0,,,
"Package","org.repodriller.filter.range",,,68,2,,,
"Public Class","org.repodriller.filter.range.AllCommits",0,3,1,0,0,2,1
"Public Method","org.repodriller.filter.range.AllCommits.get",,,1,0,,,
"Public Class","org.repodriller.filter.range.BetweenDates",33,6,5,2,0,2,1
"Public Constructor","org.repodriller.filter.range.BetweenDates.BetweenDates",,,1,0,,,
"Public Method","org.repodriller.filter.range.BetweenDates.get",,,3,2,,,
"Private Method","org.repodriller.filter.range.BetweenDates.isInTheRange",,,1,0,,,
"Public Class","org.repodriller.filter.range.BetweenDatesTest",25,11,2,0,0,1,1
"Public Method","org.repodriller.filter.range.BetweenDatesTest.setUp",,,1,0,,,
"Public Method","org.repodriller.filter.range.BetweenDatesTest.should_get_commits_in_range",,,1,0,,,
